INT	STRING
ID	WORDS
1	啊！！这耀眼的光芒！这就是活力值的威力吗？
2	拥有活力值时打怪可以获得高倍经验，在炼狱或使用双倍经验卡可以叠加倍数~
3	活力值充沛，升级更轻松！
4	活力状态下打怪有更高几率获得宝物哦~
5	我还会回来的！~
6	我的老大会替我报仇的！
7	可恶！差一点就可以逃走了！
8	就只会欺负我，你厉害你去攻沙啊~
9	宝宝心里苦，宝宝不开心~
10	本来还想告诉你一个宝藏的坐标的，现在你没机会了……
11	愚蠢的人类，你以为真的可以杀光我们吗？！
12	这一击~打得我啊~魂飞那个魄散~
13	壮士，下次见面，先让我跑10秒如何？
14	您如此英明神武，按理说应该去更高级的地方打怪……
15	你身后有只铁血魔……啊！……
16	我就算咬舌自尽也不会给你经验的！咦？我舌头呢？
17	翻车了翻车了……
18	可怜我这辈子都没见到过铁血神技……
19	你们是不是出动了一个师的人来追杀我？
20	神威狱中凶险异常，你敢去闯一闯吗？
21	有活力值了不起啊？我躲起来还不行吗？
22	我跟你拼了！你别追！
23	吃药算什么英雄好汉！今天我雪莲在家里忘带出来了！
24	哥，你去劫镖吧，那边经验多……
25	打了我十来年了，想想都是真爱啊！
26	你以为我这次不会说话？你想错了哈哈！
27	不用紧张，我又不会爆什么好东西……
28	我有一套血煞要送给你，放我回家拿给你吧？
29	我藏得这么好都被你发现了，你眼神真犀利……
30	今天不该出门的，唉……
31	吃不消了，我要搬家了。
32	还好我及时的护住了脸，英俊的面庞得以保存。
33	这一下我给你99分，还有1分不给你是怕你骄傲。
34	年轻人，用点力，我还撑得住。
35	这些话都是雷哥叫我说的，不信我换个人再说一遍。
36	你这么厉害你家里人知道吗？
37	曾经有一次逃命的机会摆在眼前，我没有珍惜，等到被你击败的时候才追悔莫及。
38	坐的太久可以离开电脑运动一下，我真的是为你好，不是怕死……
39	如果掉线了那肯定是网络波动，不管你信不信反正我是信了。
40	炸了炸了……
41	我死后请把我葬在桃园，谢谢了……
42	洒家这辈子……值了……
43	总有刁民想害朕！
44	你忍心击败我这么帅的怪物吗？
45	我就喜欢你看不惯又不能让我闭嘴的样子。
46	我临死前只想去观看一次落霞夺宝……
47	你肯定没参加过远征军试炼场！
48	看你这走位，手法还需磨炼啊！
49	希望人间多一点真诚，少一些套路。
50	我就这些金币，别嫌少哈。
51	不知道说点啥，广告位招租。
52	如果你有什么意见，请到论坛反馈，反正我们也不会不看的。
53	传奇世界，无限可能！
54	更多惊喜，敬请期待！
55	我有预感未来半小时内会出极品装备！
56	通天教主是被魔化的楼兰国王子。
57	没有什么传奇是永恒的，留在人们心中的只有这个世界。
58	铁血魔王是魔宫之主，但在魔域，他算不上什么强者。
59	禁地魔王上半身传送到人界，下半身卡在了魔域，他并不是什么残疾的BOSS。
60	灵枪现世，我现在感觉好慌。
61	双击活力宝玉可以补充活力值。
62	据小道消息，部分魔眼身上藏着流星火雨技能书。
63	打到的活力原石可以兑换成活力宝玉。
64	别低头，装备会爆；别哭泣，敌对会笑。
65	我好累，感觉身体被掏空。
66	我还可以抢救一下，为何放弃治疗！
67	很好，这很传世。
68	我的内心毫无波动，甚至还想笑。
69	瞬间爆炸，来不及握手……
70	我还没使出洪荒之力，就便当了…
71	想当年我也是称霸一方，直到我膝盖中了一箭。
72	死亡，只是开始。
73	我有柄40米的大长刀，可惜没带出来。
74	幽影武士身怀绝技，掌握着时空的力量，竟然从魔宫盗走了狂龙紫电技能书！
75	修罗神界降临人界，留给你们的时间不多啦！~
76	实力太弱有些地图是进不去的。
